Please select your school,Time of the Day the behavior occurred?,Date of Incident,Is the referral for a minor or a major violation?,Select the Classroom Managed Behavior (Do not include student names in text boxes) - Selected Choice,Select the Major Referral,Where did the incident take place?,Enrollment_SchoolID,Ethnicity,fre,Gender,Grade_Level,LunchStatus,Student Identifier,Year,Term,dr.studentminors
Hill Valley High School,2:00pm -3:00pm,11/18/2024,Minor Violation (5 times in the same quarter),Misuse of electronic devices,,Media Center,5,W,W,M,0,P,A16817795BZD,2024-2025,2Q,1
Hill Valley High School,12:00pm - 1:00pm,11/18/2024,Minor Violation (5 times in the same quarter),Disobedience/Defiance/Disrespect,,Classroom,5,W,W,M,0,P,A16817795BZD,2024-2025,2Q,2
Shermer High School,8:00am - 9:00am,05/06/2024,Minor Violation (5 times in the same quarter),Tardiness,,Cafeteria,105,H,"W,H",M,11,F,A12046745BZD,2023-2024,4Q,1
Hill Valley High School,2:00pm -3:00pm,11/18/2024,Minor Violation (5 times in the same quarter),Disobedience/Defiance/Disrespect,,Media Center,5,W,W,M,0,P,A16732493BZD,2024-2025,2Q,1
Rydell High School,8:00am - 9:00am,08/26/2024,Minor Violation (5 times in the same quarter),Disobedience/Defiance/Disrespect,,Classroom,35,W,W,M,-1,P,A16747199BZD,2024-2025,1Q,1
Rydell High School,8:00am - 9:00am,08/27/2024,Minor Violation (5 times in the same quarter),Disobedience/Defiance/Disrespect,,Classroom,35,W,W,M,-1,P,A16747199BZD,2024-2025,1Q,2
Rydell High School,8:00am - 9:00am,08/30/2024,Minor Violation (5 times in the same quarter),Disobedience/Defiance/Disrespect,,Classroom,35,W,W,M,-1,P,A16747199BZD,2024-2025,1Q,3
Rydell High School,9:00am - 10:00am,09/03/2024,Minor Violation (5 times in the same quarter),Disobedience/Defiance/Disrespect,,Classroom,35,W,W,M,-1,P,A16747199BZD,2024-2025,1Q,4
Rydell High School,9:00am - 10:00am,09/04/2024,Minor Violation (5 times in the same quarter),Disobedience/Defiance/Disrespect,,Classroom,35,W,W,M,-1,P,A16747199BZD,2024-2025,1Q,5
Rydell High School,9:00am - 10:00am,09/09/2024,Major Violation,,Exceeded minor maximum count,Classroom,35,W,W,M,-1,P,A16747199BZD,2024-2025,1Q,5
Springfield Elementary,1:00pm - 2:00pm,04/24/2024,Minor Violation (5 times in the same quarter),Disruption,,Classroom,17,W,"W,H",M,0,F,A15857066BZD,2023-2024,4Q,1
Bayside,12:00pm - 1:00pm,09/23/2024,Minor Violation (5 times in the same quarter),Disobedience/Defiance/Disrespect,,Cafeteria,15,W,"B,I,W",F,4,F,A15034922BZD,2024-2025,1Q,1
Rydell High School,11:00am - 12:00pm,12/10/2024,Minor Violation (5 times in the same quarter),Other,,Playground,35,W,W,M,0,R,A16360118BZD,2024-2025,2Q,1
Rydell High School,12:00pm - 1:00pm,12/11/2024,Minor Violation (5 times in the same quarter),Disobedience/Defiance/Disrespect,,Classroom,35,W,W,F,1,P,A15995096BZD,2024-2025,2Q,1
Rydell High School,12:00pm - 1:00pm,02/07/2025,Minor Violation (5 times in the same quarter),Other,,Playground,35,W,W,F,1,P,A15995096BZD,2024-2025,3Q,1
Springfield Elementary,9:00am - 10:00am,10/23/2024,Minor Violation (5 times in the same quarter),Other,,Playground,17,W,W,M,0,R,A16334411BZD,2024-2025,2Q,1
