I am responding as a - Selected Choice,I am responding as a - Other - Text,My ethnic/race background is - Selected Choice,My ethnic/race background is - Other - Text,Please check which school your child/children attends.,How many children in total do you have attending the school selected above? (This will ensure you only have to complete one survey per school your children attend.),Have you completed the 2024-2025 Family Engagement survey for another child/School?,How likely are you to recommend Putnam County Schools to a friend or family member? - Group,How likely are you to recommend Putnam County Schools to a friend or family member?,Please respond to the following statements regarding your student(s): - I understand the academic standards and curriculum that my child/children are expected to learn at their grade level.,"Please respond to the following statements regarding your student(s): - My child's teacher and school provide me with helpful information on how to support my child's progress, including through initiatives like parent-teacher conferences, parent workshops, and other resources.",Please respond to the following statements regarding your student(s): - It is important for my child/children to read for 20 minutes a day at home.,"Please answer the following questions regarding your student(s) school. ([QID103-ChoiceGroup-SelectedChoices]) - When I walk into [QID103-ChoiceGroup-SelectedChoices],  I feel the school is welcoming.","Please answer the following questions regarding your student(s) school. ([QID103-ChoiceGroup-SelectedChoices]) - The administration at my child's school is approachable, easy to contact, and helpful.","Please answer the following questions regarding your student(s) school. ([QID103-ChoiceGroup-SelectedChoices]) - The teachers at my child's school is approachable, easy to contact, and helpful.","Please answer the following questions regarding your student(s) school. ([QID103-ChoiceGroup-SelectedChoices]) - The staff at my child's school is approachable, easy to contact, and helpful.""","Please answer the following questions regarding communication at your child's/children's school. ([QID103-ChoiceGroup-SelectedChoices]) - My student's school communicates with families in multiple ways (email, phone, website, handbook, newsletters, social media, and communication app (like Parent Square, Dojo, Remind, PowerSchool, and Google Classroom).","Please answer the following questions regarding communication at your child's/children's school. ([QID103-ChoiceGroup-SelectedChoices]) - My student's teacher keeps me informed on a regularly basis about how my child is doing in school. (PowerSchool, graded work comes home, progress reports, report cards, conferences, phone, text, notes home, Parent Square, Dojo, Remind, social media, etc.)",The school provides a safe environment for my child.,"Do you feel that, as a parent, you can trust the public school system with your child's education?",Please respond on the following statements: - It is easy to get a translator if I need one.,"Please respond on the following statements: - The school's policies and programs reflect, respect, and value the diversity of the families in the community.","Please respond on the following statements: - I feel welcome at family engagement events. (Back to School/Annual Title I Meeting, Reading Nights, Math Nights, Freshman Orientation, FAFSA, ACT, etc.)",Please respond on the following statements: - Directional signs in the school make it easy for me to find my way around.,"Please respond on the following statements regarding [QID103-ChoiceGroup-SelectedChoices]: - If the school can't help me, they will connect me to someone who can.","Please respond on the following statements regarding [QID103-ChoiceGroup-SelectedChoices]: - I understand the rules and requirements for student dress, language, and behavior.",Please respond on the following statements regarding [QID103-ChoiceGroup-SelectedChoices]: - I feel empowered to advocate for my child's and other children's success in school.,"Please respond on the following statements regarding [QID103-ChoiceGroup-SelectedChoices]: - The school connects students, families, and staff to expanded learning opportunities, community services, and community improvement initiatives.",The best ways to communicate overall with me is: (Select all that apply) - Selected Choice,The best ways to communicate overall with me is: (Select all that apply) - Other (Please Specify) - Text,What platforms do you look for school or PCSS communication on?,What types of workshops and events would you like to see offered? (Check all that apply) - Selected Choice,Have you attended a Family Engagement event meeting at your child's school?,Please answer the following statements: - Do you know the school has a Family/Parent Resource Center you can use?,Please answer the following statements: - The school's Family Engagement Plan has been made available to me.,Please answer the following statements: - I have access to the internet.,Please answer the following statements: - I would like to have some school meetings in places other than the school.,Please answer the following statements: - I know that child care and/or transportation are available for a Family Engagement event if needed.,Please answer the following statements: - PCSS has a Return to School plan. Have you been able to review that?,Please answer the following statements: - PCSS has a Safe Return to In-Person Instruction and Continuity of Services plan. Have you been able to review that?,Please answer the following statements: - PCSS has a Federal Relief Spending Plan on the ESSER website. Have you been able to review that?,"If you cannot attend school activities, please select any that apply. - Selected Choice","If you cannot attend school activities, please select any that apply. - Other (please specify) - Text","What time of day would be best for you to attend a family engagement activity or meeting? (Check all that
apply.) - Selected Choice","What time of day would be best for you to attend a family engagement activity or meeting? (Check all that
apply.) - Other (please specify) - Text"
Parent,,Asian,,Rydell High School,1,No,Passive,7,Agree,Neutral,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,,,,,Agree,Agree,Agree,Agree,"Text,Parent Square",,,"Computer skills,How to understand testing/curriculum",Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,My work schedule,,Early Evening (5:00 PM or Later),
Parent,,Hispanic/Latino,,Hill Valley High School School,2,No,Promoter,10,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,"Newsletters sent home,e-newsletter,Social Media,Text",,Parent Square,,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,My work schedule,,"During School,Early Evening (5:00 PM or Later)",
Parent,,White/Caucasian,,Hill Valley High School School,1,No,Promoter,10,Agree,Agree,Agree,Neutral,Agree,Agree,Agree,Agree,Agree,Agree,Agree,,,,,Agree,Agree,Agree,Neutral,"Newsletters sent home,Social Media,Email,Text,Phone Call,Parent Square",,"Parent Square,PCSS Facebook,School Facebook",,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,No,"My work schedule,Too busy",,Early Evening (5:00 PM or Later),
Parent,,White/Caucasian,,Rydell High School,2,No,Detractor,6,Disagree,Neutral,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,,,,,Neutral,Agree,Agree,Agree,"Text,Parent Square",,,How to understand testing/curriculum,Yes,Yes,Yes,Yes,No,Yes,No,No,No,,,Early Evening (5:00 PM or Later),
Parent,,White/Caucasian,,Hill Valley High School School,1,No,Detractor,5,Disagree,Neutral,Agree,Neutral,Agree,Agree,Agree,Neutral,Agree,Neutral,Neutral,,,,,Neutral,Agree,Agree,Neutral,"e-newsletter,Email,Text,Phone Call,Parent Square",,,"Grade Level Workshops,How to understand testing/curriculum",Yes,No,Yes,Yes,No,Yes,Yes,Yes,Yes,My work schedule,,Other (please specify),I worl 12 hours shifts
Parent,,White/Caucasian,,Springfield Elementary,2,No,Promoter,9,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,,,,,Agree,Agree,Agree,Agree,Text,,,"Grade Level Workshops,Social-Emotional / Mental Health,Math Events",,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,My work schedule,,"Before School Hours,During School",
Parent,,White/Caucasian,,Rydell High School,1,No,Promoter,9,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,,,,,Agree,Neutral,Agree,Agree,Text,,,How to understand testing/curriculum,No,No,Yes,Yes,No,No,No,No,No,Childcare issues,,During School,
Parent,,White/Caucasian,,Bayside,1,No,Detractor,6,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,,,,,Agree,Agree,Agree,Agree,"Email,Text,In person,Phone Call,Parent Square",,,,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,My work schedule,,During School,
Parent,,White/Caucasian,,Hill Valley High School School,2,No,Promoter,10,Agree,Agree,Agree,Neutral,Agree,Agree,Agree,Agree,Agree,Agree,Agree,,,,,Agree,Agree,Agree,Agree,"Text,Parent Square",,,"Literacy/Reading events,Kindergarten Registration,STEM",,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,,,Early Evening (5:00 PM or Later),
Parent,,White/Caucasian,,Hill Valley High School School,1,No,Passive,8,Neutral,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,,,,,Agree,Agree,Agree,Neutral,"Newsletters sent home,Email,Text,In person,Phone Call,Parent Square",,,"Grade Level Workshops,How to understand testing/curriculum",Yes,Yes,Yes,Yes,No,No,No,No,No,"My work schedule,Childcare issues",,"During School,Immediately After School Dismissal",
