School,Date of Incident,Bus Route: Check all that Apply,Type of Incident: Check all that Apply - Selected Choice,"As the school bus driver, I have taken the following actions: - Selected Choice",Year,Term,Student Identifier,bus.dr,Ethnicity,Gender,Grade_Level
Hill Valley High School,08/06/2024,Return Trip Home,"Throwing objects on or from the bus,Violation of Safety Procedures,Other",Request school administrator assistance ASAP!,2024 - 2025,1Q,A15878405BZD,2,W,M,2
Hill Valley High School,08/09/2024,Route to School,"Willful disobedience,Other",Request school administrator assistance ASAP!,2024 - 2025,1Q,A14788361BZD,1,W,M,1
Cookeville High,08/07/2024,Return Trip Home,"Intentional violation of bus rules,Being disrespectful toward driver or aide,Willful disobedience,Other",Request school administrator assistance ASAP!,2024 - 2025,1Q,A13076150BZD,1,H,F,9
Hill Valley High School,08/09/2024,Return Trip Home,"Intentional violation of bus rules,Being disrespectful toward driver or aide,Other",Request school administrator assistance ASAP!,2024 - 2025,1Q,A15878405BZD,2,W,M,2
Cookeville High,08/13/2024,Return Trip Home,"Intentional violation of bus rules,Being disrespectful toward driver or aide,Willful disobedience,Other",Request school administrator assistance ASAP!,2024 - 2025,1Q,A13286285BZD,1,W,F,10
Cookeville High,08/14/2024,Return Trip Home,"Fighting, Pushing, Tripping,Intentional violation of bus rules,Violation of Safety Procedures,Other",Request school administrator assistance ASAP!,2024 - 2025,1Q,A16494374BZD,1,W,F,10
Rydell High School,08/16/2024,Return Trip Home,"Intentional violation of bus rules,Willful disobedience,Other",Request school administrator assistance ASAP!,2024 - 2025,1Q,A14069825BZD,1,W,M,3
Rydell High School,08/16/2024,Return Trip Home,"Intentional violation of bus rules,Willful disobedience,Other",Request school administrator assistance ASAP!,2024 - 2025,1Q,A15382187BZD,1,W,M,2
Cookeville High,08/19/2024,Return Trip Home,"Intentional violation of bus rules,Being disrespectful toward driver or aide,Willful disobedience,Violation of Safety Procedures,Other",Request school administrator assistance ASAP!,2024 - 2025,1Q,A12424244BZD,1,W,M,10
Cookeville High,08/19/2024,Return Trip Home,"Fighting, Pushing, Tripping,Intentional violation of bus rules,Being disrespectful toward driver or aide,Willful disobedience,Throwing objects on or from the bus,Violation of Safety Procedures,Other",Request school administrator assistance ASAP!,2024 - 2025,1Q,A15249146BZD,1,W,M,11
Hill Valley High School,08/22/2024,Return Trip Home,"Fighting, Pushing, Tripping,Intentional violation of bus rules,Willful disobedience,Violation of Safety Procedures,Other",Request school administrator assistance ASAP!,2024 - 2025,1Q,A15878405BZD,3,W,M,2
Cookeville High,08/23/2024,Return Trip Home,"Using profane or abusive language,Being disrespectful toward driver or aide,Willful disobedience,Other",Request school administrator assistance ASAP!,2024 - 2025,1Q,A15461477BZD,1,W,M,10
Cookeville High,08/26/2024,Return Trip Home,"Intentional violation of bus rules,Being disrespectful toward driver or aide,Willful disobedience,Violation of Safety Procedures,Other",Request school administrator assistance ASAP!,2024 - 2025,1Q,A15249146BZD,2,W,M,11
Rydell High School,08/27/2024,Return Trip Home,"Intentional violation of bus rules,Using profane or abusive language,Being disrespectful toward driver or aide,Willful disobedience,Other",Request school administrator assistance ASAP!,2024 - 2025,1Q,A14086856BZD,1,H,M,4
Cookeville High,08/26/2024,Return Trip Home,"Using profane or abusive language,Other",Request school administrator assistance ASAP!,2024 - 2025,1Q,A12525302BZD,1,B,M,12
Cookeville High,09/04/2024,Route to School,"Intentional violation of bus rules,Using profane or abusive language,Being disrespectful toward driver or aide,Willful disobedience,Violation of Safety Procedures",Request school administrator assistance ASAP!,2024 - 2025,1Q,A16494374BZD,2,W,F,10
Hill Valley High School,09/04/2024,Return Trip Home,Being disrespectful toward driver or aide,Request school administrator assistance ASAP!,2024 - 2025,1Q,A16188017BZD,1,H,M,1
Cookeville High,09/04/2024,Return Trip Home,"Intentional violation of bus rules,Being disrespectful toward driver or aide,Willful disobedience,Violation of Safety Procedures",Request school administrator assistance ASAP!,2024 - 2025,1Q,A15187388BZD,1,W,M,10
Cookeville High,09/04/2024,Return Trip Home,"Intentional violation of bus rules,Being disrespectful toward driver or aide,Willful disobedience,Violation of Safety Procedures",,2024 - 2025,1Q,A16298558BZD,1,W,M,10
Cookeville High,09/09/2024,Return Trip Home,"Intentional violation of bus rules,Being disrespectful toward driver or aide,Willful disobedience,Violation of Safety Procedures",Request school administrator assistance ASAP!,2024 - 2025,1Q,A12641120BZD,1,W,F,9
Cookeville High,09/11/2024,Return Trip Home,Being disrespectful toward driver or aide,Request school administrator assistance ASAP!,2024 - 2025,1Q,A12813074BZD,1,W,F,11
Rydell High School,09/11/2024,Return Trip Home,"Fighting, Pushing, Tripping,Intentional violation of bus rules,Being disrespectful toward driver or aide,Willful disobedience,Violation of Safety Procedures",Request school administrator assistance ASAP!,2024 - 2025,1Q,A16812362BZD,1,W,M,0
Rydell High School,09/11/2024,Return Trip Home,"Fighting, Pushing, Tripping,Intentional violation of bus rules,Being disrespectful toward driver or aide,Willful disobedience,Violation of Safety Procedures",Request school administrator assistance ASAP!,2024 - 2025,1Q,A14086856BZD,2,H,M,4
Rydell High School,09/13/2024,Route to School,"Intentional violation of bus rules,Violation of Safety Procedures",Request school administrator assistance ASAP!,2024 - 2025,1Q,A15107723BZD,1,W,F,3
Rydell High School,09/13/2024,Route to School,"Intentional violation of bus rules,Violation of Safety Procedures",Request school administrator assistance ASAP!,2024 - 2025,1Q,A15635555BZD,1,W,F,2
Cookeville High,09/17/2024,Return Trip Home,"Being disrespectful toward driver or aide,Willful disobedience,Violation of Safety Procedures",Request school administrator assistance ASAP!,2024 - 2025,1Q,A13079408BZD,1,H,F,9
Springfield Elementary,09/19/2024,Return Trip Home,Other,Request school administrator assistance ASAP!,2024 - 2025,1Q,A14889065BZD,1,W,M,0
Cookeville High,09/18/2024,Return Trip Home,"Intentional violation of bus rules,Possession of or use of Tobacco, Drugs, Alcohol,Willful disobedience,Violation of Safety Procedures",Request school administrator assistance ASAP!,2024 - 2025,1Q,A16149890BZD,1,W,F,10
Cookeville High,09/18/2024,Return Trip Home,"Intentional violation of bus rules,Possession of or use of Tobacco, Drugs, Alcohol,Willful disobedience,Violation of Safety Procedures",Request school administrator assistance ASAP!,2024 - 2025,1Q,A13256420BZD,1,W,F,10
Cookeville High,09/18/2024,Return Trip Home,"Intentional violation of bus rules,Using profane or abusive language,Possession of or use of Tobacco, Drugs, Alcohol,Being disrespectful toward driver or aide,Willful disobedience,Violation of Safety Procedures",Request school administrator assistance ASAP!,2024 - 2025,1Q,A15249146BZD,3,W,M,11
Hill Valley High School,09/20/2024,Route to School,"Intentional violation of bus rules,Violation of Safety Procedures",Request school administrator assistance ASAP!,2024 - 2025,1Q,A15235619BZD,1,W,M,4
Cookeville High,09/20/2024,Return Trip Home,"Intentional violation of bus rules,Willful disobedience,Violation of Safety Procedures",Request school administrator assistance ASAP!,2024 - 2025,1Q,A16150805BZD,1,H,F,11
Rydell High School,09/26/2024,Return Trip Home,"Intentional violation of bus rules,Being disrespectful toward driver or aide,Willful disobedience,Violation of Safety Procedures",Request school administrator assistance ASAP!,2024 - 2025,1Q,A16454900BZD,1,W,F,0
Rydell High School,09/26/2024,Return Trip Home,"Intentional violation of bus rules,Being disrespectful toward driver or aide,Willful disobedience,Violation of Safety Procedures",Request school administrator assistance ASAP!,2024 - 2025,1Q,A16536920BZD,1,A,F,3
Cookeville High,09/24/2024,Return Trip Home,"Intentional violation of bus rules,Using profane or abusive language,Willful disobedience",Request school administrator assistance ASAP!,2024 - 2025,1Q,A12374048BZD,1,W,M,11
Cookeville High,09/25/2024,Return Trip Home,"Intentional violation of bus rules,Using profane or abusive language",Request school administrator assistance ASAP!,2024 - 2025,1Q,A13086323BZD,1,W,M,10
Cookeville High,09/25/2024,Return Trip Home,Intentional violation of bus rules,Request school administrator assistance ASAP!,2024 - 2025,1Q,A16327658BZD,1,W,M,9
Rydell High School,09/30/2024,Return Trip Home,"Intentional violation of bus rules,Willful disobedience,Violation of Safety Procedures",Request school administrator assistance ASAP!,2024 - 2025,1Q,A16423706BZD,1,H,F,0
Rydell High School,09/30/2024,Return Trip Home,"Intentional violation of bus rules,Willful disobedience,Violation of Safety Procedures",Request school administrator assistance ASAP!,2024 - 2025,1Q,A16536920BZD,2,A,F,3
Bayside,10/01/2024,Return Trip Home,"Intentional violation of bus rules,Using profane or abusive language,Willful disobedience,Violation of Safety Procedures",Request school administrator assistance ASAP!,2024 - 2025,1Q,A14794331BZD,1,W,F,4
Bayside,10/01/2024,Return Trip Home,"Fighting, Pushing, Tripping,Intentional violation of bus rules,Willful disobedience,Violation of Safety Procedures",Request school administrator assistance ASAP!,2024 - 2025,1Q,A15244859BZD,1,W,F,4
Bayside,10/02/2024,Route to School,"Fighting, Pushing, Tripping,Intentional violation of bus rules,Willful disobedience,Violation of Safety Procedures",Request school administrator assistance ASAP!,2024 - 2025,1Q,A16417805BZD,1,W,F,2
Cookeville High,10/02/2024,Return Trip Home,"Intentional violation of bus rules,Using profane or abusive language,Willful disobedience,Violation of Safety Procedures",Request school administrator assistance ASAP!,2024 - 2025,1Q,A13571138BZD,1,W,M,9
Bayside,10/03/2024,Return Trip Home,"Intentional violation of bus rules,Willful disobedience,Violation of Safety Procedures",Request school administrator assistance ASAP!,2024 - 2025,1Q,A15849686BZD,1,W,F,2
Cookeville High,10/04/2024,Return Trip Home,"Intentional violation of bus rules,Using profane or abusive language,Willful disobedience",Request school administrator assistance ASAP!,2024 - 2025,1Q,A13115837BZD,1,W,M,9
Rydell High School,10/22/2024,Return Trip Home,"Fighting, Pushing, Tripping",Request school administrator assistance ASAP!,2024 - 2025,2Q,A14086856BZD,3,H,M,4
Cookeville High,10/23/2024,Route to School,"Possession of or use of Tobacco, Drugs, Alcohol",Request school administrator assistance ASAP!,2024 - 2025,2Q,A13012304BZD,1,W,M,9
Cookeville High,10/24/2024,Return Trip Home,"Fighting, Pushing, Tripping,Intentional violation of bus rules,Using profane or abusive language,Willful disobedience,Violation of Safety Procedures",Request school administrator assistance ASAP!,2024 - 2025,2Q,A14187515BZD,1,W,M,10
Rydell High School,10/23/2024,Return Trip Home,Using profane or abusive language,Request school administrator assistance ASAP!,2024 - 2025,2Q,A15144356BZD,1,W,F,3
Cookeville High,10/28/2024,Return Trip Home,"Intentional violation of bus rules,Willful disobedience",Request school administrator assistance ASAP!,2024 - 2025,2Q,A12678563BZD,1,W,M,11
Rydell High School,10/29/2024,Return Trip Home,"Intentional violation of bus rules,Being disrespectful toward driver or aide,Willful disobedience,Violation of Safety Procedures",Request school administrator assistance ASAP!,2024 - 2025,2Q,A15635555BZD,2,W,F,2
Cookeville High,10/30/2024,Route to School,"Intentional violation of bus rules,Willful disobedience",Request school administrator assistance ASAP!,2024 - 2025,2Q,A13208333BZD,1,W,M,11
Cookeville High,10/30/2024,Route to School,"Intentional violation of bus rules,Willful disobedience",Request school administrator assistance ASAP!,2024 - 2025,2Q,A14187515BZD,2,W,M,10
Cookeville High,10/30/2024,Route to School,"Intentional violation of bus rules,Willful disobedience",Request school administrator assistance ASAP!,2024 - 2025,2Q,A15234191BZD,1,W,M,10
Rydell High School,10/31/2024,Return Trip Home,"Willful disobedience,Throwing objects on or from the bus,Violation of Safety Procedures",Request school administrator assistance ASAP!,2024 - 2025,2Q,A16812362BZD,2,W,M,0
Cookeville High,10/30/2024,Return Trip Home,"Intentional violation of bus rules,Using profane or abusive language,Willful disobedience,Violation of Safety Procedures",Request school administrator assistance ASAP!,2024 - 2025,2Q,A14187515BZD,3,W,M,10
Cookeville High,10/30/2024,Return Trip Home,"Intentional violation of bus rules,Willful disobedience",Request school administrator assistance ASAP!,2024 - 2025,2Q,A16854029BZD,1,W,F,9
Cookeville High,10/30/2024,Return Trip Home,"Intentional violation of bus rules,Willful disobedience",Request school administrator assistance ASAP!,2024 - 2025,2Q,A13479137BZD,1,W,F,9
Cookeville High,10/30/2024,Return Trip Home,"Intentional violation of bus rules,Willful disobedience",Request school administrator assistance ASAP!,2024 - 2025,2Q,A13479137BZD,2,W,F,9
Cookeville High,10/30/2024,Return Trip Home,"Intentional violation of bus rules,Using profane or abusive language,Willful disobedience,Violation of Safety Procedures",Request school administrator assistance ASAP!,2024 - 2025,2Q,A13070711BZD,1,W,F,9
Cookeville High,10/30/2024,Return Trip Home,"Intentional violation of bus rules,Willful disobedience,Violation of Safety Procedures",Request school administrator assistance ASAP!,2024 - 2025,2Q,A14911724BZD,1,H,M,9
Cookeville High,10/30/2024,Route to School,"Intentional violation of bus rules,Willful disobedience",Request school administrator assistance ASAP!,2024 - 2025,2Q,A14855411BZD,1,W,F,9
Cookeville High,10/30/2024,Return Trip Home,"Intentional violation of bus rules,Willful disobedience,Violation of Safety Procedures",Request school administrator assistance ASAP!,2024 - 2025,2Q,A13044308BZD,1,B,F,9
Cookeville High,10/30/2024,Route to School,"Intentional violation of bus rules,Willful disobedience",Request school administrator assistance ASAP!,2024 - 2025,2Q,A16747301BZD,1,H,M,9
Cookeville High,10/30/2024,Return Trip Home,"Intentional violation of bus rules,Willful disobedience",Request school administrator assistance ASAP!,2024 - 2025,2Q,A16747301BZD,2,H,M,9
Cookeville High,11/01/2024,Return Trip Home,"Intentional violation of bus rules,Willful disobedience",Request school administrator assistance ASAP!,2024 - 2025,2Q,A14749217BZD,1,W,F,10
Cookeville High,11/01/2024,Return Trip Home,"Intentional violation of bus rules,Willful disobedience,Violation of Safety Procedures",Request school administrator assistance ASAP!,2024 - 2025,2Q,A13479137BZD,3,W,F,9
Cookeville High,11/08/2024,Route to School,"Fighting, Pushing, Tripping,Intentional violation of bus rules,Willful disobedience,Violation of Safety Procedures",Request school administrator assistance ASAP!,2024 - 2025,2Q,A13479137BZD,4,W,F,9
Cookeville High,11/08/2024,"Route to School,Return Trip Home","Intentional violation of bus rules,Using profane or abusive language,Willful disobedience,Violation of Safety Procedures",Request school administrator assistance ASAP!,2024 - 2025,2Q,A14911724BZD,2,H,M,9
Rydell High School,11/13/2024,Return Trip Home,"Being disrespectful toward driver or aide,Willful disobedience",Request school administrator assistance ASAP!,2024 - 2025,2Q,A16812362BZD,3,W,M,0
Bayside,11/12/2024,Return Trip Home,"Fighting, Pushing, Tripping,Intentional violation of bus rules,Willful disobedience,Violation of Safety Procedures",Request school administrator assistance ASAP!,2024 - 2025,2Q,A15244859BZD,2,W,F,4
Hill Valley High School,11/13/2024,Return Trip Home,"Fighting, Pushing, Tripping,Being disrespectful toward driver or aide",Request school administrator assistance ASAP!,2024 - 2025,2Q,A14781929BZD,1,W,M,4
Cookeville High,11/14/2024,Return Trip Home,"Being disrespectful toward driver or aide,Willful disobedience,Violation of Safety Procedures",Request school administrator assistance ASAP!,2024 - 2025,2Q,A13018283BZD,1,W,F,11
Bayside,11/13/2024,Return Trip Home,Intentional violation of bus rules,Request school administrator assistance ASAP!,2024 - 2025,2Q,A15849686BZD,2,W,F,2
Cookeville High,11/19/2024,Route to School,Being disrespectful toward driver or aide,Request school administrator assistance ASAP!,2024 - 2025,2Q,A14035619BZD,1,B,F,12
Cookeville High,,Route to School,"Intentional violation of bus rules,Willful disobedience,Violation of Safety Procedures",Request school administrator assistance ASAP!,2024 - 2025,2Q,A14035613BZD,1,B,F,10
Rydell High School,11/19/2024,Route to School,Using profane or abusive language,Request school administrator assistance ASAP!,2024 - 2025,2Q,A14069825BZD,2,W,M,3
Hill Valley High School,11/20/2024,Route to School,"Being disrespectful toward driver or aide,Willful disobedience",Request school administrator assistance ASAP!,2024 - 2025,2Q,A15686213BZD,1,W,M,2
Cookeville High,11/19/2024,Return Trip Home,"Intentional violation of bus rules,Willful disobedience,Violation of Safety Procedures",Request school administrator assistance ASAP!,2024 - 2025,2Q,A14011247BZD,1,W,F,9
Cookeville High,11/19/2024,Route to School,"Intentional violation of bus rules,Using profane or abusive language,Being disrespectful toward driver or aide,Willful disobedience",Request school administrator assistance ASAP!,2024 - 2025,2Q,A15588617BZD,1,W,F,9
Cookeville High,11/19/2024,Route to School,"Intentional violation of bus rules,Using profane or abusive language,Willful disobedience",Request school administrator assistance ASAP!,2024 - 2025,2Q,A15588617BZD,2,W,F,9
