Please select your school,Time of the Day the behavior occurred?,Date of Incident,Is the referral for a minor or a major violation?,Select the Classroom Managed Behavior (Do not include student names in text boxes) - Selected Choice,Select the Major Referral,Ethnicity,Gender,Grade_Level,LunchStatus,Student_Number
Bayside,11:00am - 12:00pm,08/06/2024,Minor Violation (5 times in the same quarter),Other,,W,M,4,F,A14843549BZD
Shermer High School,11:00am - 12:00pm,08/13/2024,Minor Violation (5 times in the same quarter),Disobedience/Defiance/Disrespect,,W,M,9,F,A12943094BZD
Shermer High School,11:00am - 12:00pm,08/13/2024,Minor Violation (5 times in the same quarter),Disobedience/Defiance/Disrespect,,W,M,9,F,A13368554BZD
Shermer High School,1:00pm - 2:00pm,08/13/2024,Minor Violation (5 times in the same quarter),Disobedience/Defiance/Disrespect,,W,M,10,P,A12732407BZD
Bayside,2:00pm -3:00pm,08/13/2024,Minor Violation (5 times in the same quarter),Other,,W,M,2,R,A15849737BZD
Bayside,1:00pm - 2:00pm,08/15/2024,Minor Violation (5 times in the same quarter),Disobedience/Defiance/Disrespect,,W,M,3,P,A15248312BZD
Bayside,10:00am-11:00am,08/15/2024,Minor Violation (5 times in the same quarter),Disobedience/Defiance/Disrespect,,W,M,2,F,A15617582BZD
Bayside,10:00am-11:00am,08/16/2024,Minor Violation (5 times in the same quarter),Disruption,,W,M,4,P,A15142049BZD
Bayside,12:00pm - 1:00pm,08/19/2024,Minor Violation (5 times in the same quarter),Disruption,,W,F,4,P,A15142052BZD
Bayside,12:00pm - 1:00pm,08/20/2024,Minor Violation (5 times in the same quarter),Refusal to do work,,W,M,3,F,A14988029BZD
Bayside,9:00am - 10:00am,08/21/2024,Minor Violation (5 times in the same quarter),Disruption,,W,F,4,P,A15142052BZD
Bayside,9:00am - 10:00am,08/21/2024,Minor Violation (5 times in the same quarter),Disruption,,W,F,4,P,A15142526BZD
Bayside,2:00pm -3:00pm,08/21/2024,Minor Violation (5 times in the same quarter),Disobedience/Defiance/Disrespect,,W,M,2,F,A15470471BZD
Bayside,1:00pm - 2:00pm,08/21/2024,Minor Violation (5 times in the same quarter),Disruption,,W,M,2,F,A15617582BZD
Rydell High School,12:00pm - 1:00pm,08/21/2024,Minor Violation (5 times in the same quarter),Other,,B,M,0,F,A16157912BZD
Bayside,10:00am-11:00am,08/20/2024,Major Violation,,Continued Misconduct,W,M,2,F,A15617582BZD
Rydell High School,10:00am-11:00am,08/22/2024,Minor Violation (5 times in the same quarter),Other,,W,M,1,F,A15470015BZD
