Please select your school,Time of the Day the behavior occurred?,Date of Incident,Is the referral for a minor or a major violation?,Select the Classroom Managed Behavior (Do not include student names in text boxes) - Selected Choice,Select the Major Referral,Where did the incident take place?,Enrollment_SchoolID,Ethnicity,fre,Gender,Grade_Level,LunchStatus,Student Identifier,Year,Term,dr.studentminors,Student_Number
Hill Valley High School,2:00pm -3:00pm,2024-11-18,Minor Violation (5 times in the same quarter),Misuse of electronic devices,,Media Center,5.0,W,W,M,0,P,A16817795BZD,2024-2025,2Q,1.0,
Hill Valley High School,12:00pm - 1:00pm,2024-11-18,Minor Violation (5 times in the same quarter),Disobedience/Defiance/Disrespect,,Classroom,5.0,W,W,M,0,P,A16817795BZD,2024-2025,2Q,2.0,
Shermer High School,8:00am - 9:00am,2024-05-06,Minor Violation (5 times in the same quarter),Tardiness,,Cafeteria,105.0,H,"W,H",M,11,F,A12046745BZD,2023-2024,4Q,1.0,
Hill Valley High School,2:00pm -3:00pm,2024-11-18,Minor Violation (5 times in the same quarter),Disobedience/Defiance/Disrespect,,Media Center,5.0,W,W,M,0,P,A16732493BZD,2024-2025,2Q,1.0,
Rydell High School,8:00am - 9:00am,2024-08-26,Minor Violation (5 times in the same quarter),Disobedience/Defiance/Disrespect,,Classroom,35.0,W,W,M,-1,P,A16747199BZD,2024-2025,1Q,1.0,
Rydell High School,8:00am - 9:00am,2024-08-27,Minor Violation (5 times in the same quarter),Disobedience/Defiance/Disrespect,,Classroom,35.0,W,W,M,-1,P,A16747199BZD,2024-2025,1Q,2.0,
Rydell High School,8:00am - 9:00am,2024-08-30,Minor Violation (5 times in the same quarter),Disobedience/Defiance/Disrespect,,Classroom,35.0,W,W,M,-1,P,A16747199BZD,2024-2025,1Q,3.0,
Rydell High School,9:00am - 10:00am,2024-09-03,Minor Violation (5 times in the same quarter),Disobedience/Defiance/Disrespect,,Classroom,35.0,W,W,M,-1,P,A16747199BZD,2024-2025,1Q,4.0,
Rydell High School,9:00am - 10:00am,2024-09-04,Minor Violation (5 times in the same quarter),Disobedience/Defiance/Disrespect,,Classroom,35.0,W,W,M,-1,P,A16747199BZD,2024-2025,1Q,5.0,
Rydell High School,9:00am - 10:00am,2024-09-09,Major Violation,,Exceeded minor maximum count,Classroom,35.0,W,W,M,-1,P,A16747199BZD,2024-2025,1Q,5.0,
Springfield Elementary,1:00pm - 2:00pm,2024-04-24,Minor Violation (5 times in the same quarter),Disruption,,Classroom,17.0,W,"W,H",M,0,F,A15857066BZD,2023-2024,4Q,1.0,
Bayside,12:00pm - 1:00pm,2024-09-23,Minor Violation (5 times in the same quarter),Disobedience/Defiance/Disrespect,,Cafeteria,15.0,W,"B,I,W",F,4,F,A15034922BZD,2024-2025,1Q,1.0,
Rydell High School,11:00am - 12:00pm,2024-12-10,Minor Violation (5 times in the same quarter),Other,,Playground,35.0,W,W,M,0,R,A16360118BZD,2024-2025,2Q,1.0,
Rydell High School,12:00pm - 1:00pm,2024-12-11,Minor Violation (5 times in the same quarter),Disobedience/Defiance/Disrespect,,Classroom,35.0,W,W,F,1,P,A15995096BZD,2024-2025,2Q,1.0,
Rydell High School,12:00pm - 1:00pm,2025-02-07,Minor Violation (5 times in the same quarter),Other,,Playground,35.0,W,W,F,1,P,A15995096BZD,2024-2025,3Q,1.0,
Springfield Elementary,9:00am - 10:00am,2024-10-23,Minor Violation (5 times in the same quarter),Other,,Playground,17.0,W,W,M,0,R,A16334411BZD,2024-2025,2Q,1.0,
Springfield Elementary,1:00pm - 2:00pm,2024-11-18,Minor Violation (5 times in the same quarter),Other,,Playground,17.0,W,W,M,0,R,A16334411BZD,2024-2025,2Q,2.0,
Bayside,12:00pm - 1:00pm,2024-10-30,Minor Violation (5 times in the same quarter),Disruption,,Cafeteria,15.0,W,W,M,4,F,A14900798BZD,2024-2025,2Q,1.0,
Hill Valley High School,1:00pm - 2:00pm,2024-09-17,Major Violation,,Fighting,Playground,5.0,W,W,M,3,F,A15467435BZD,2024-2025,1Q,0.0,
Hill Valley High School,1:00pm - 2:00pm,2024-11-19,Major Violation,,Continued Misconduct,Hallway,5.0,W,W,M,2,P,A15850778BZD,2024-2025,2Q,0.0,
Hill Valley High School,1:00pm - 2:00pm,2024-12-19,Minor Violation (5 times in the same quarter),Disobedience/Defiance/Disrespect,,Classroom,5.0,W,W,M,2,P,A15850778BZD,2024-2025,2Q,1.0,
Springfield Elementary,2:00pm -3:00pm,2024-12-02,Minor Violation (5 times in the same quarter),Inappropriate Verbal Language,,Classroom,17.0,B,"B,W",F,1,F,A14889647BZD,2024-2025,2Q,1.0,
Shermer High School,2:00pm -3:00pm,2024-03-18,Minor Violation (5 times in the same quarter),Disruption,,Classroom,105.0,W,W,M,7,F,A13607390BZD,2023-2024,4Q,1.0,
Shermer High School,10:00am-11:00am,2024-04-12,Minor Violation (5 times in the same quarter),Insubordination,,Classroom,105.0,W,W,M,7,F,A13607390BZD,2023-2024,4Q,2.0,
