name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
38501,2024-01-01,35.6,31.8,34.1,33.8,26.4,29.9,26.7,74.4,0,0,0,,0,0,19.7,6.9,334.1,1024.2,99.9,9.9,21.7,1.9,1,10,2024-01-01T06:53:17,2024-01-01T16:37:59,0.69,Overcast,Cloudy skies throughout the day.,cloudy,"72327400372,99999963855,72325003847,KSRB,K8A3,F7826"
38501,2024-01-02,42.8,23,34.2,42.8,23,33.6,27.5,78,0,0,0,,0,0,12.3,7.8,74.3,1025.1,49.5,9.9,77.5,6.6,5,10,2024-01-02T06:53:27,2024-01-02T16:38:46,0.72,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"72327400372,99999963855,KSRB,F7826"
38501,2024-01-03,37.4,20.1,27.3,37.4,20.1,26.9,24.8,90.5,0,0,0,,0,0,12.3,4.8,248.9,1019.5,16.3,9.6,28.3,2.4,1,10,2024-01-03T06:53:35,2024-01-03T16:39:34,0.75,Clear,Clear conditions throughout the day.,clear-day,"72327400372,99999963855,KSRB,K8A3,F7826"
38501,2024-01-04,42.3,22,32.7,38.4,21,29.4,25.7,77.1,0,0,0,,0,0,20.6,8.4,21.8,1023.4,48.6,9.4,62.3,5.4,4,10,2024-01-04T06:53:41,2024-01-04T16:40:24,0.78,Partially cloudy,Clearing in the afternoon.,partly-cloudy-day,"72327400372,99999963855,KSRB,K8A3,F7826"
38501,2024-01-05,46.6,18.3,34,43,18.3,31.6,22.3,65.7,0,0,0,,0,0,23.4,15.9,147.5,1020.4,15,9.8,56.7,4.9,3,10,2024-01-05T06:53:45,2024-01-05T16:41:14,0.81,Clear,Clear conditions throughout the day.,clear-day,"72327400372,99999963855,72325003847,KSRB,K8A3,F7826"
38501,2024-01-06,46.1,39.2,43,44.4,33.1,39.8,41.5,94.6,0.07,100,54.17,rain,0,0,32.4,10.3,225.1,1006.9,99.6,7.4,20.8,1.8,1,10,2024-01-06T06:53:47,2024-01-06T16:42:06,0.85,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain,"72327400372,99999963855,72325003847,KCSV,KSRB,K8A3,F7826"
38501,2024-01-07,42.5,25.6,36.6,42.5,25.6,33.5,32.4,85.5,0.009,100,29.17,rain,0,0,25.5,9.3,257.2,1018,95.5,9.5,50.7,4.5,4,10,2024-01-07T06:53:47,2024-01-07T16:42:59,0.88,"Rain, Overcast",Cloudy skies throughout the day with rain clearing later.,rain,"72327400372,99999963855,72325003847,KSRB,K8A3,F7826"
38501,2024-01-08,51.6,20.4,38,51.6,13.1,34.7,27.4,70.3,0.003,100,4.17,rain,0,0,31.6,18.9,151.7,1019.4,35.5,9.7,69.2,5.9,5,10,2024-01-08T06:53:45,2024-01-08T16:43:52,0.91,"Rain, Partially cloudy",Becoming cloudy in the afternoon with late afternoon rain.,rain,"72327400372,99999963855,72325003847,KSRB,K8A3,F7826"
38501,2024-01-09,51.8,33.6,45.6,51.8,24.8,39.6,41.2,85.1,0.219,100,79.17,"rain,snow",0,0,50.6,21,207.2,996.3,97.4,7.1,40.6,3.6,3,10,2024-01-09T06:53:41,2024-01-09T16:44:47,0.94,"Snow, Rain, Overcast",Cloudy skies throughout the day with a chance of rain or snow throughout the day.,rain,"72327400372,99999963855,KCSV,KSRB,K8A3,F7826"
38501,2024-01-10,42.5,30.7,36.1,37.1,23.9,29.5,28.4,73.5,0,0,0,"rain,snow",0.7,0,28.9,16.1,222.9,1008.2,65.9,9.9,45.9,4.1,3,10,2024-01-10T06:53:35,2024-01-10T16:45:43,0.98,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"72327400372,99999963855,72325003847,KCSV,KSRB,K8A3,F7826"
38501,2024-01-11,55.2,30.9,42.6,55.2,26,39.8,28.9,60.2,0,0,0,,0,0,25.3,11.3,190.5,1013.6,6.9,9.9,86.3,7.4,4,10,2024-01-11T06:53:28,2024-01-11T16:46:39,0,Clear,Clear conditions throughout the day.,clear-day,"72327400372,99999963855,KSRB,K8A3,F7826"
38501,2024-01-12,51.8,37.2,48.2,51.8,29.4,44,40.3,74.5,0.053,100,45.83,rain,0,0,44.4,23.2,189,1000.9,75.9,8.9,24.7,2.1,3,10,2024-01-12T06:53:18,2024-01-12T16:47:36,0.04,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"72327400372,99999963855,KSRB,K8A3,F7826"
38501,2024-01-13,39,28.1,32.6,35.2,18.4,25.8,21.2,63.3,0,0,0,,0,0,28.3,18.3,244.5,1012,61.8,9.9,82.7,7.2,4,10,2024-01-13T06:53:06,2024-01-13T16:48:34,0.08,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"72327400372,99999963855,KSRB,K8A3,F7826"
38501,2024-01-14,33.6,19.1,27.3,28.2,12.7,22.2,17.4,69.2,0.014,100,20.83,snow,0.6,0.1,20.6,7.6,305.4,1020.7,59.1,8.1,81.6,7,4,10,2024-01-14T06:52:52,2024-01-14T16:49:33,0.11,"Snow, Partially cloudy",Partly cloudy throughout the day with late afternoon snow.,snow,"72327400372,99999963855,72325003847,KSRB,K8A3,F7826"
38501,2024-01-15,19.2,13.8,16.8,19.2,4.9,9.8,13.9,87.9,0.02,100,54.17,snow,5.2,3.9,14.8,6.7,352.4,1020.6,96.2,3.3,32.1,2.8,2,10,2024-01-15T06:52:37,2024-01-15T16:50:32,0.15,"Snow, Overcast",Cloudy skies throughout the day with a chance of snow throughout the day.,snow,"72327400372,99999963855,KSRB,K8A3,F7826"
38501,2024-01-16,15.5,-6.6,8.6,10.1,-6.6,1.9,2.7,77.3,0,0,0,snow,0.2,4.8,18.8,9.9,332.9,1021.6,65.1,8.4,69.1,6,3,10,2024-01-16T06:52:19,2024-01-16T16:51:32,0.18,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"72327400372,99999963855,KSRB,K8A3,F7826"
38501,2024-01-17,22.8,-11.8,6.2,14.6,-11.8,1.6,-3.2,67.3,0,0,0,,0,4.1,17.9,11,189.7,1025,16.6,9.6,91.1,7.8,5,10,2024-01-17T06:52:00,2024-01-17T16:52:33,0.25,Clear,Clear conditions throughout the day.,clear-day,"72327400372,99999963855,KSRB,K8A3,F7826"
38501,2024-01-18,37.4,4.7,26.6,33.6,1.4,22.5,16.5,69,0.022,100,29.17,"rain,snow",0.1,3.6,21,10,174.2,1017.6,66.3,7.4,33.6,2.8,1,10,2024-01-18T06:51:38,2024-01-18T16:53:34,0.25,"Snow, Rain, Partially cloudy",Partly cloudy throughout the day with rain or snow.,snow,"72327400372,99999963855,LFFT1,KSRB,K8A3,F7826"
38501,2024-01-19,33.6,13.7,24.8,28.9,2.3,16,19.7,81.3,0.004,100,12.5,"rain,snow",0.6,3.1,25.7,11.2,307.9,1021.4,100,7.2,59.3,5.1,3,10,2024-01-19T06:51:15,2024-01-19T16:54:35,0.29,"Snow, Rain, Overcast",Cloudy skies throughout the day with rain or snow.,snow,"72327400372,99999963855,LFFT1,KSRB,K8A3"
